year,maxt,mint
1961,13.884340659340658,6.260439560439561
1962,12.527945205479451,5.368767123287671
1963,15.24758064516129,7.680645161290323
1964,13.408469945355192,6.302185792349727
1965,15.543103448275861,7.276271186440678
1966,12.685197368421052,6.0562499999999995
1967,13.347527472527473,6.474246575342465
1968,13.269505494505495,6.147802197802198
1969,12.867130919220056,4.894029850746269
1970,13.387945205479452,6.583013698630137
1971,13.706301369863015,7.352994011976048
1972,12.979234972677595,6.163934426229508
1973,13.544383561643835,6.648493150684931
1974,13.032054794520548,6.4498630136986295
1975,13.816164383561643,7.058904109589041
1976,13.509289617486338,6.944262295081967
1977,13.084383561643836,6.556712328767123
1978,13.272099447513812,6.657734806629834
1979,12.702191780821918,5.787671232876712
1980,13.14808743169399,6.471311475409836
1981,13.144657534246576,6.561643835616438
1982,13.654246575342466,6.483561643835617
1983,13.727945205479452,7.172054794520548
1984,13.65983606557377,6.486885245901639
1985,12.910220994475138,6.306906077348066
1986,12.75095890410959,5.80082191780822
1987,13.367123287671232,6.52027397260274
1988,13.762191780821917,7.013424657534247
1989,14.712602739726028,7.248493150684931
1990,14.498904109589041,7.378904109589041
1991,13.873952095808383,7.1053892215568855
1992,14.166120218579236,6.936065573770492
1993,13.613774104683197,6.92554945054945
1994,13.902191780821918,7.284109589041095
1995,15.267123287671232,7.368219178082192
1996,14.010382513661202,6.763934426229508
1997,15.090136986301369,7.947671232876712
1998,15.084657534246574,7.8191780821917805
1999,15.14054794520548,7.799452054794521
2000,14.795901639344264,7.062021857923496
2001,14.634246575342466,7.087945205479452
2002,14.283287671232875,8.07123287671233
2003,14.59945205479452,7.594794520547945
2004,14.341530054644808,8.033879781420765
2005,14.427397260273972,8.44986301369863
2006,14.759178082191783,8.328219178082191
2007,14.827671232876714,8.256712328767122
2008,14.113934426229507,7.809562841530055
2009,14.329589041095891,7.698904109589041
2010,13.271232876712329,6.217260273972603
2011,14.653150684931505,7.868493150684931
2012,13.756284153005465,7.5683060109289615
2013,13.990958904109588,7.611780821917809
2014,14.72054794520548,8.025205479452055
2015,14.243835616438357,7.411780821917809
2016,14.485245901639345,7.955737704918033
2017,14.699452054794522,8.233150684931507
2018,14.687123287671234,7.6046575342465745
2019,14.77013698630137,7.63945205479452
2020,14.81513157894737,7.454276315789474
2021,14.99835616438356,7.537808219178083
2022,15.529863013698629,7.867123287671233
2023,15.28821917808219,8.312054794520549
2024,11.204132231404959,4.836363636363637
