0,year,mean
EDC3_gas_a (yr),1979,336.85
CO2 (ppmv),1980,338.91
,1981,340.11
,1982,340.86
,1983,342.53
,1984,344.07
,1985,345.54
,1986,346.97
,1987,348.68
,1988,351.16
,1989,352.78
,1990,354.05
,1991,355.39
,1992,356.09
,1993,356.83
,1994,358.33
,1995,360.17
,1996,361.93
,1997,363.05
,1998,365.7
,1999,367.8
,2000,368.96
,2001,370.57
,2002,372.59
,2003,375.15
,2004,376.95
,2005,378.98
,2006,381.15
,2007,382.9
,2008,385.02
,2009,386.5
,2010,388.76
,2011,390.63
,2012,392.65
,2013,395.4
,2014,397.34
,2015,399.65
,2016,403.08
,2017,405.22
,2018,407.61
,2019,410.07
,2020,412.44
,2021,414.7
,2022,417.07
,2023,419.31
