,year,co2,unc
0,1959,315.98,0.12
1,1960,316.91,0.12
2,1961,317.64,0.12
3,1962,318.45,0.12
4,1963,318.99,0.12
5,1964,319.62,0.12
6,1965,320.04,0.12
7,1966,321.37,0.12
8,1967,322.18,0.12
9,1968,323.05,0.12
10,1969,324.62,0.12
11,1970,325.68,0.12
12,1971,326.32,0.12
13,1972,327.46,0.12
14,1973,329.68,0.12
15,1974,330.19,0.12
16,1975,331.13,0.12
17,1976,332.03,0.12
18,1977,333.84,0.12
19,1978,335.41,0.12
20,1979,336.84,0.12
21,1980,338.76,0.12
22,1981,340.12,0.12
23,1982,341.48,0.12
24,1983,343.15,0.12
25,1984,344.87,0.12
26,1985,346.35,0.12
27,1986,347.61,0.12
28,1987,349.31,0.12
29,1988,351.69,0.12
30,1989,353.2,0.12
31,1990,354.45,0.12
32,1991,355.7,0.12
33,1992,356.54,0.12
34,1993,357.21,0.12
35,1994,358.96,0.12
36,1995,360.97,0.12
37,1996,362.74,0.12
38,1997,363.88,0.12
39,1998,366.84,0.12
40,1999,368.54,0.12
41,2000,369.71,0.12
42,2001,371.32,0.12
43,2002,373.45,0.12
44,2003,375.98,0.12
45,2004,377.7,0.12
46,2005,379.98,0.12
47,2006,382.09,0.12
48,2007,384.02,0.12
49,2008,385.83,0.12
50,2009,387.64,0.12
51,2010,390.1,0.12
52,2011,391.85,0.12
53,2012,394.06,0.12
54,2013,396.74,0.12
55,2014,398.82,0.12
56,2015,401.02,0.12
57,2016,404.41,0.12
58,2017,406.77,0.12
59,2018,408.72,0.12
60,2019,411.66,0.12
61,2020,414.21,0.12
62,2021,416.41,0.12
63,2022,418.53,0.12
64,2023,421.08,0.12
